Sample ID,Site,Collection Date,Depth (cm),SO42-,Cl- (mg/L)
P8,dam pool,4/5/17,15,1586.7457,5.486
P8,dam pool,4/13/17,15,1292.6216,6.2781
P8,dam pool,4/19/17,15,1242.1938,6.6063
P8,dam pool,4/26/17,15,1109.6261,8.9297
P8,dam pool,5/19/17,15,1237.3074,10.8006
P8,dam pool,5/26/17,15,1188.3342,8.8098
P8,dam pool,6/1/17,15,1168.9545,NA
P8,dam pool,6/13/17,15,1921.6948,NA
P8,dam pool,6/9/17,15,1173.954,NA
P8,dam pool,6/20/17,15,1233.4774,NA
P8,dam pool,7/3/17,15,1117.4069,NA
P8,dam pool,7/7/17,15,1150.9827,NA
P8,dam pool,7/13/17,15,1252.7578,NA
P8,dam pool,8/25/17,15,1080.7577,5.2397
P8,dam pool,9/5/17,15,1133.5382,4.7635
P8,dam pool,9/29/17,15,1258.2546,5.0318
P8,dam pool,10/6/17,15,1258.3631,NA
P8,dam pool,10/20/17,15,1222.4878,5.7061
P8,dam pool,11/3/17,15,1311.6478,NA
BDP,below dam pool,4/1/17,0,262.0362,7.2679
BDP,below dam pool,4/5/17,0,NA,11.0109
BDP,below dam pool,4/13/17,0,337.7855,13.6881
BDP,below dam pool,4/19/17,0,686.5616,12.7083
BDP,below dam pool,4/26/17,0,593.5025,12.2536
BDP,below dam pool,5/19/17,0,206.9195,9.7246
BDP,below dam pool,5/26/17,0,399.2862,13.0863
BDP,below dam pool,6/1/17,0,672.4162,6.3512
BDP,below dam pool,6/13/17,0,743.1412,NA
BDP,below dam pool,6/9/17,0,520.8978,NA
BDP,below dam pool,6/20/17,0,1175.4688,NA
BDP,below dam pool,7/3/17,0,715.5188,NA
BDP,below dam pool,7/7/17,0,933.068,NA
BDP,below dam pool,7/13/17,0,515.6446,NA
BDP,below dam pool,8/25/17,0,888.0937,4.885
BDP,below dam pool,9/5/17,0,811.7092,4.9125
BDP,below dam pool,9/29/17,0,1192.8264,4.6468
BDP,below dam pool,10/6/17,0,1070.5129,NA
BDP,below dam pool,10/20/17,0,1179.5805,5.0859
BDP,below dam pool,11/3/17,0,476.0994,NA
P1,below dam pool,4/1/17,100,1577.84,4.5308
P1,below dam pool,4/5/17,100,1878.8494,8.9067
P1,below dam pool,4/13/17,100,1499.3094,16.1938
P1,below dam pool,4/19/17,100,1998.2187,12.6038
P1,below dam pool,4/26/17,100,1178.4049,15.4135
P1,below dam pool,5/19/17,100,1341.6784,19.9765
P1,below dam pool,5/26/17,100,2995.5623,7.6926
P1,below dam pool,6/1/17,100,1237.9334,18.1245
P1,below dam pool,6/13/17,100,1084.8901,NA
P1,below dam pool,6/9/17,100,1088.5706,NA
P1,below dam pool,6/20/17,100,1244.4511,NA
P1,below dam pool,7/3/17,100,1511.5912,NA
P1,below dam pool,7/7/17,100,1107.6604,NA
P1,below dam pool,7/13/17,100,1273.8704,NA
P1,below dam pool,8/25/17,100,1233.6663,5.3495
P1,below dam pool,9/5/17,100,1223.9414,4.6642
P1,below dam pool,9/29/17,100,1372.6393,9.3589
P1,below dam pool,10/6/17,100,1298.4106,NA
P1,below dam pool,10/20/17,100,1319.47,4.8958
P1,below dam pool,11/3/17,100,1279.3352,NA
P2,below dam pool,4/1/17,60,1306.36,1.6077
P2,below dam pool,4/5/17,60,1832.761,5.9718
