"","sample_name","date_and_time","Q_m3s","Al_mgL","Ca_mgL","Fe_mgL","K_mgL","Mg_mgL","Mn_mgL","Na_mgL","SO42_mgL","pH","EC","Al_mmolL","Ca_mmolL","Fe_mmolL","K_mmolL","Mg_mmolL","Mn_mmolL","Na_mmolL","SO42_mmolL","H_mgL","H_umolL","logQ","logAl","logCa","logFe","logK","logMg","logMn","logNa","logSO42","logH","logEC","H_molL"
"49","Out 2 9-15-17 4:41 pm","9/15/17 16:41",0.000315,2.771,235.2,6.41,6.051,108.1,24.83,8.295,1051.3962,2.87,1942,0.102698095026314,5.86826347305389,0.114781985853702,0.154760991329702,4.44764451758897,0.451964032181732,0.360809047411918,10.9452029981262,0.00134896288259165,1348.96288259165,-3.5016894462104,-0.988437612169354,0.768509604544912,-0.940126265755256,-0.810338497045648,0.648130068542749,-0.344896125468567,-0.442722580908899,1.03922382073707,3.13,3.28824922557199,0.00134896288259165
"50","Out 3 9-18-17 4:41 pm","9/18/17 16:41",NA,2.869,236.3,5.284,6.047,109.1,24.96,8.04,1059.1193,2.83,1953,0.106330146023275,5.89570858283433,0.0946190348285433,0.154658686922939,4.48878831516149,0.454330336015144,0.349717268377555,11.0256017072663,0.00147910838816821,1479.10838816821,NA,-0.973343589705587,0.77053600877318,-1.02402148633158,-0.810625681372134,0.652129125177781,-0.342628264012745,-0.456282922520828,1.04240229981922,3.17,3.29070224328785,0.00147910838816821
"51","Out 4 9-21-17 4:41 pm","9/21/17 16:41",NA,3.345,230.5,6.42,6.836,109.4,28.6,8.997,1070.953,2.79,2011,0.123971536579942,5.75099800399202,0.114961052914316,0.174838231156807,4.50113145443324,0.520586843350686,0.391344062635929,11.1487924214033,0.00162181009735893,1621.81009735893,NA,-0.906678015847744,0.759743216866478,-0.93944926720522,-0.757363595929376,0.653321696586851,-0.283506811894088,-0.407441250790089,1.04722782943597,3.21,3.30341207059674,0.00162181009735893
"52","Out 1 9-29-17","9/29/17 17:41",NA,3.631,279.9,10.62,6.946,124.7,32.54,9.892,1128.3283,2.8,2028,0.134571195611889,6.98353293413174,0.19016921837228,0.177651602342771,5.13063155729274,0.592304051840256,0.430274032187908,11.7460784926088,0.00158489319246111,1584.89319246111,NA,-0.871047889038693,0.844075185606973,-0.720859778528623,-0.750430871003332,0.710170828067982,-0.227455296422291,-0.366254863580019,1.06989289866878,3.2,3.3070679506613,0.00158489319246111
"53","Out 2 10-1-17","10/1/17 17:41",NA,3.543,279,10.96,7.335,126.4,33.37,10.19,1120.4466,2.83,2022,0.131309762063598,6.96107784431138,0.196257498433163,0.187600705900407,5.20057601316602,0.607411991699734,0.443236189647673,11.6640287320425,0.00147910838816821,1479.10838816821,NA,-0.881702985618408,0.842676490414408,-0.707173741125723,-0.726765531798774,0.716051448535805,-0.216516638368339,-0.353364787262853,1.06684858077432,3.17,3.30578115125498,0.00147910838816821
"54","Out 3 10-3-17","10/3/17 17:41",NA,3.385,276.2,9.133,6.71,126.5,31.84,9.486,1118.5512,2.83,2032,0.12545400637462,6.89121756487026,0.163541946458949,0.171615642343794,5.20469039292327,0.579562415814191,0.412614180078295,11.6442973141786,0.00147910838816821,1479.10838816821,NA,-0.901515464930422,0.838295961383423,-0.786370837626165,-0.765443129809083,0.716394900101276,-0.2368997859575,-0.384455850953426,1.06611328576185,3.17,3.30792370361188,0.00147910838816821
"55","Out 4 10-5-17","10/5/17 17:41",0.001428,3.468,269.2,8.515,7.869,121.8,27.7,8.979,990.1198,2.89,1858,0.128530131198577,6.71656686626747,0.152475602112991,0.201258344203177,5.01131454433244,0.504204739888602,0.390561113527621,10.3073058505101,0.00128824955169313,1288.24955169313,-2.84527179255984,-0.890995049147413,0.82714734269275,-0.816799642975454,-0.69624610466806,0.699951662886296,-0.297393075958683,-0.408310999709425,1.0131451631342,3.11,3.26904570965762,0.00128824955169313
"56","Out 1 10-8-17 6pm","10/8/17 18:00",0.005837,2.983,225.9,7.391,8.182,98.35,26.96,8.291,1043.5819,2.92,1899,0.110555184938107,5.63622754491018,0.132348464499955,0.209263664032328,4.04649249125694,0.490735010375332,0.360635058721183,10.8638548823652,0.00120226443461741,1202.26443461741,-2.23381030668984,-0.956420884589523,0.750988518061174,-0.878281092995537,-0.679306174815721,0.607078738844794,-0.309152957159849,-0.442932056124297,1.03598395573899,3.08,3.27852496473702,0.00120226443461741
"57","Out 2 10-8-17 7:30 pm","10/8/17 19:30",0.005444,2.953,227.7,9.694,7.654,102,28.18,8.722,1034.8585,2.87,1914,0.109443332592098,5.6811377245509,0.173587608559406,0.195759482339702,4.19666735239663,0.512941861735047,0.37938234014789,10.7730428898605,0.00134896288259165,1348.96288259165,-2.2640818834687,-0.960810690986507,0.754435317755954,-0.760481279887333,-0.708277192089595,0.622904546351357,-0.289931856249794,-0.420922888931871,1.03233838887132,3.13,3.28194193344082,0.00134896288259165
"58","Out 3 10-8-17 9pm","10/8/17 21:00",0.005337,2.911,223.7,8.659,7.661,98.33,27.17,8.615,1018.8543,2.88,1851,0.107886739307687,5.5813373253493,0.155054167785836,0.195938515051536,4.04566961530549,0.494557501183152,0.374728142670726,10.6064366021237,0.00131825673855641,1318.25673855641,-2.27270279719641,-0.967031932512775,0.74673827123744,-0.809516555630696,-0.7078801876384,0.606990413751567,-0.305783206605241,-0.426283689485232,1.02556950039808,3.12,3.2674064187529,0.00131825673855641
"59","Out 4 10-8-17 10:30 pm","10/8/17 22:30",0.005472,2.739,206.4,7.985,7.749,92.75,26.32,8.665,863.0456,2.98,1666,0.101512119190571,5.1497005988024,0.142985047900439,0.198189212000307,3.81608722485085,0.479085514580072,0.376903001304915,8.98444305642307,0.0010471285480509,1047.1285480509,-2.26185391128794,-0.993482105697624,0.711781980095984,-0.844709374799572,-0.702919989085096,0.581618292876523,-0.319586960081213,-0.423770404219343,0.953491160463467,3.02,3.22167499707077,0.0010471285480509
"60","Out 5 10-9-17 12 am","10/9/17 0:00",0.009816,2.341,171.4,4.163,8.382,74.28,21.46,7.768,577.6868,3.22,1181,0.0867615447335261,4.27644710578842,0.0745456173336915,0.214378884370444,3.05616128368648,0.390622155884816,0.337886037407569,6.01381220070789,0.000602559586074357,602.559586074357,-2.00806545028105,-1.06167272425496,0.63108310472799,-1.1275778843873,-0.66881799348025,0.485176269657182,-0.408243127393199,-0.471229754369331,0.779149861830722,2.78,3.07224989761351,0.000602559586074357
"61","Out 6 10-9-17 1:30 am","10/9/17 1:30",0.008178,1.849,125.6,1.768,7.872,54.72,15.42,5.638,623.8979,3.2,1231,0.0685271662589875,3.13373253493014,0.0316590563165906,0.201335072508248,2.25138860316807,0.280680039317048,0.245237059591127,6.49487716010827,0.000630957344480193,630.957344480193,-2.08735289378168,-1.16413722679241,0.496061926541988,-1.49950203459702,-0.696080564554791,0.352450463301499,-0.551788471308193,-0.610413899733696,0.812570941522729,2.8,3.09025805293132,0.000630957344480193
"62","Out 7 10-9-17 3 am","10/9/17 3:00",0.009175,2.097,144.6,3.737,8.858,62.53,16.83,6.253,715.7849,3.23,1344,0.0777184789859907,3.60778443113772,0.0669173605515266,0.226553108775161,2.57272166220942,0.306345334740981,0.271987820791649,7.45143556110764,0.000588843655355589,588.843655355589,-2.03739392707587,-1.10947570748624,0.557240580099323,-1.17446119742444,-0.644829974029336,0.410392803270108,-0.513788729047308,-0.56545054258861,0.872239950091574,2.77,3.12839926871781,0.000588843655355589
"63","Out 8 10-9-17 4:30 am","10/9/17 4:30",0.011134,1.817,163.4,2.488,8.931,70.95,16.11,6.774,715.2925,3.37,1331,0.0673411904232451,4.07684630738523,0.044551884680813,0.228420164198573,2.91915243777001,0.293239651971313,0.294649847759896,7.44630959816781,0.000426579518801593,426.579518801593,-1.95334878302908,-1.17171921064355,0.610324339337207,-1.35113391925529,-0.641265560611688,0.465256774382932,-0.532777304603913,-0.530693778960667,0.871941089091703,2.63,3.12417805547468,0.000426579518801593
"64","Out 9 10-9-17 6 am","10/9/17 6:00",0.010932,1.632,178,1.706,8.861,75.54,14.93,6.698,823.7494,3.42,1460,0.0604847676228597,4.44111776447106,0.0305488405407825,0.226629837080232,3.10800246862785,0.271760894098802,0.291344062635929,8.57536331459504,0.000380189396320561,380.189396320561,-1.96130037697938,-1.21835398353374,0.647492289449705,-1.51500526844257,-0.644682913421157,0.492481355080945,-0.565813037298106,-0.535593828065431,0.933252528969188,2.58,3.16435285578444,0.000380189396320561
"65","Out 10 10-9-17 7:30 am","10/9/17 7:30",0.010558,1.606,207.4,1.691,8.859,85.36,15.65,7.395,879.223,3.4,1536,0.059521162256319,5.17465069860279,0.0302802399498612,0.226578684876851,3.51203456078996,0.28486657686847,0.32166159199652,9.15285238392671,0.000398107170553497,398.107170553497,-1.97641834233506,-1.22532859700892,0.713881039193833,-1.51884068767633,-0.644780948293335,0.545558781005853,-0.545358503140664,-0.492600792936368,0.961556458170762,2.6,3.18639121569549,0.000398107170553497
"66","Out 11 10-9-17 9 am","10/9/17 9:00",0.010018,1.695,212.4,2.173,8.582,90.3,16.39,7.528,876.8849,3.34,1559,0.0628196575494774,5.29940119760479,0.0389112722714657,0.21949410470856,3.71528492079819,0.298336306381739,0.327446715963462,9.12851238809078,0.000457088189614875,457.088189614875,-1.9992189726465,-1.20190443541248,0.724226799550242,-1.40992456895355,-0.658577139781422,0.569992124902945,-0.525293891452632,-0.484859360850079,0.960400009266755,2.66,3.19284611518884,0.000457088189614875
"67","Out 12 10-9-17 10:30 am","10/9/17 10:30",0.009222,1.884,213.5,2.743,8.549,90.45,16.96,7.469,902.679,3.29,1576,0.0698243273293307,5.32684630738523,0.0491180947264751,0.218650093352771,3.72145649043407,0.308711638574393,0.32488038277512,9.39703310430981,0.000512861383991365,512.861383991365,-2.03517488211661,-1.15599323949473,0.726470166501853,-1.30875848766954,-0.66025033289683,0.570712945785272,-0.510446997102436,-0.488276511830552,0.972990756811053,2.71,3.19755621315354,0.000512861383991365
"68","Out 1 10-11-17 3:02 am","10/11/17 3:02",0.002598,2.192,210,4.655,7.137,89.54,19.74,7.63,949.3677,2.95,1701,0.0812393447483508,5.23952095808383,0.0833557167159101,0.182536637765672,3.68401563464308,0.359314135935054,0.331883427577208,9.88306995627733,0.00112201845430196,1122.01845430196,-2.58536085326299,-1.09023358813925,0.71929158187473,-1.07906460995671,-0.738649953221147,0.566321464636865,-0.444525696689513,-0.479014433314399,0.994891869483872,3.05,3.23070431361257,0.00112201845430196
"69","Out 2 10-11-17 4:02 am","10/11/17 4:02",0.002192,2.619,204.3,8.249,7.049,90.51,24.44,8.028,950.259,2.89,1719,0.0970647098065377,5.09730538922156,0.147712418300654,0.180285940816901,3.72392511828842,0.444865120681496,0.34919530230535,9.89234853216739,0.00128824955169313,1288.24955169313,-2.65915945018767,-1.01293863952635,0.707340653773258,-0.830582991670198,-0.744038139410201,0.57100093948409,-0.351771643452615,-0.456931607453831,0.995299409239051,3.11,3.23527587668705,0.00128824955169313
"70","Out 3 10-11-17 5:02 am","10/11/17 5:02",0.001785,2.628,204.5,8.527,6.893,90.71,25.04,8.154,1291.543,2.91,1741,0.0973982655103402,5.10229540918164,0.152690482585728,0.17629606895317,3.73215387780292,0.455786522989552,0.354675946063506,13.4451696856132,0.00123026877081238,1230.26877081238,-2.74836177955179,-1.01144877706384,0.707765599484171,-0.816188032290773,-0.753757371483889,0.57195954153293,-0.341238520484739,-0.450168264153141,1.12856628763484,3.09,3.24079877111733,0.00123026877081238
